직책,회사,위치,URL
('Python  JAVA 백엔드 개발자의 전체 세부 정보', '주식회사 소프트랩스 관심기업', '서울 가산동', 'https://kr.indeed.com//rc/clk?jk=2ee47aecf4367fb2&fccid=5d00ed32cfbf2240&vjs=3')
('Cloud Technical Resident  Cloud Academy  Early Career (English & Korean)의 전체 세부 정보', 'Google', '서울', 'https://kr.indeed.com//rc/clk?jk=9270090d9d02454d&fccid=a5b4499d9e91a5c6&vjs=3')
('[디지털일자리매칭플랫폼] (주)아이와즈 산업기능요원(보충역) - 소프트웨어 개발 분야의 전체 세부 정보', '아이와즈', '대전', 'https://kr.indeed.com//rc/clk?jk=4d9e7fcc95034692&fccid=cf4abdb4fa3170ec&vjs=3')
('웹개발  백엔드 외 신입/경력 정규직의 전체 세부 정보', '코인챗', '서울 강남구', 'https://kr.indeed.com//rc/clk?jk=e3f3b7e2103d9bc7&fccid=e60f835b4d91f8e6&vjs=3')
('[데브시스터즈] DevOps Engineer (신입)의 전체 세부 정보', '데브시스터즈', '서울 강남구', 'https://kr.indeed.com//rc/clk?jk=3058f7280a2e6644&fccid=58a9a803698a0afd&vjs=3')
('기술 인턴 인공지능 응용 연구/개발 인턴의 전체 세부 정보', '써로마인드로보틱스', '서울 관악구', 'https://kr.indeed.com//rc/clk?jk=71c47ac87bb4087e&fccid=230e414668234579&vjs=3')
('Computer Vision Engineer의 전체 세부 정보', '플라잎', '성남 분당구', 'https://kr.indeed.com//rc/clk?jk=de2766eb246f9cd7&fccid=84dacc2dd7eb12bf&vjs=3')
('[선행기술원] Quantum Computing/Information[책임연구원]의 전체 세부 정보', '현대자동차그룹', '성남 판교역', 'https://kr.indeed.com//rc/clk?jk=e424415872777a5f&fccid=980d6ecc399a3373&vjs=3')
('[ICT] AI SW 개발-NLP 경력 채용의 전체 세부 정보', '한화시스템', '구미 공단동', 'https://kr.indeed.com//rc/clk?jk=171564b238b5baba&fccid=46ba4635611e86ea&vjs=3')
('전문연구요원 (병역특례) 수시 (AI / SW 분야)의 전체 세부 정보', '딥엑스', '성남 분당구', 'https://kr.indeed.com//rc/clk?jk=d83fc0dd2641f483&fccid=e34932b8232a173b&vjs=3')
('[직방] Smarthome IoT Device SW개발의 전체 세부 정보', '직방', '서울 종로구', 'https://kr.indeed.com//rc/clk?jk=9bb98a049291c7ca&fccid=750d792cf813d448&vjs=3')
('데이터표준품질부문 경력 (정규직)의 전체 세부 정보', '한국정보기술단', '서울 강남구', 'https://kr.indeed.com//rc/clk?jk=3de6963f8bea5273&fccid=99925e8e7b9604cc&vjs=3')
('인공지능 AI 개발자 정규직 경력의 전체 세부 정보', '스펠릭스', '서울 영등포구', 'https://kr.indeed.com//rc/clk?jk=499a887d25babecc&fccid=03af3eb9ca1a431a&vjs=3')
('AI 연구 MLOps의 전체 세부 정보', '코그넷나인', '서울 서초구', 'https://kr.indeed.com//rc/clk?jk=36ae5f764253d121&fccid=015d2bad6d9df969&vjs=3')
